Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
NYJ,28,12,42.86%,75,10,36.8%,17,10,58.82%,44,8,44.7%,All Eric Decker red zone receiving plays,Eric Decker,2015
CLE,23,9,39.13%,69,8,26.7%,15,5,33.33%,20,5,37.5%,All Gary Barnidge red zone receiving plays,Gary Barnidge,2015
PIT,23,16,69.57%,93,8,29.9%,12,10,83.33%,40,6,29.3%,All Antonio Brown red zone receiving plays,Antonio Brown,2015
HOU,22,12,54.55%,106,6,31.4%,7,4,57.14%,26,4,24.1%,All DeAndre Hopkins red zone receiving plays,DeAndre Hopkins,2015
MIA,22,11,50.00%,63,3,32.4%,16,6,37.50%,22,3,37.2%,All Jarvis Landry red zone receiving plays,Jarvis Landry,2015
JAX,22,15,68.18%,109,12,24.7%,18,11,61.11%,62,10,35.3%,All Allen Robinson red zone receiving plays,Allen Robinson,2015
GB,21,10,47.62%,47,5,23.6%,14,7,50.00%,35,5,28.0%,All Randall Cobb red zone receiving plays,Randall Cobb,2015
ATL,21,12,57.14%,83,5,29.2%,12,6,50.00%,29,4,33.3%,All Julio Jones red zone receiving plays,Julio Jones,2015
NYJ,21,11,52.38%,97,9,27.6%,12,6,50.00%,18,4,31.6%,All Brandon Marshall red zone receiving plays,Brandon Marshall,2015
WAS,21,16,76.19%,133,10,26.6%,11,9,81.82%,43,7,26.8%,All Jordan Reed red zone receiving plays,Jordan Reed,2015
SF,19,10,52.63%,96,3,29.2%,6,1,16.67%,3,1,23.1%,All Anquan Boldin red zone receiving plays,Anquan Boldin,2015
NE,19,11,57.89%,57,7,22.9%,11,6,54.55%,15,5,27.5%,All Rob Gronkowski red zone receiving plays,Rob Gronkowski,2015
DEN,19,11,57.89%,87,3,27.5%,8,3,37.50%,15,2,27.6%,All Demaryius Thomas red zone receiving plays,Demaryius Thomas,2015
NYG,18,11,61.11%,82,6,22.2%,7,3,42.86%,9,3,18.4%,All Odell Beckham red zone receiving plays,Odell Beckham,2015
ARI,18,13,72.22%,88,8,23.1%,12,7,58.33%,40,7,30.0%,All Larry Fitzgerald red zone receiving plays,Larry Fitzgerald,2015
CIN,18,9,50.00%,82,7,27.7%,11,5,45.45%,36,5,33.3%,All A.J. Green red zone receiving plays,A.J. Green,2015
CAR,18,10,55.56%,83,4,26.1%,9,4,44.44%,23,2,30.0%,All Greg Olsen red zone receiving plays,Greg Olsen,2015
DAL,17,10,58.82%,74,5,23.9%,8,6,75.00%,20,4,21.1%,All Cole Beasley red zone receiving plays,Cole Beasley,2015
DET,17,11,64.71%,39,6,24.3%,11,10,90.91%,33,6,29.7%,All Golden Tate red zone receiving plays,Golden Tate,2015
