Player,Tm,Age,Tgt,TD_rec,Team_Yds,Team_Tgt,VBD,PPR,Year
Rob Gronkowski,NE,26,120,11,6216,623,93,255.6,2015
Gary Barnidge,CLE,30,125,9,5605,590,68,237.3,2015
Jordan Reed,WAS,25,114,11,5808,544,67,244.2,2015
Greg Olsen,CAR,30,124,7,6156,495,60,227.4,2015
Delanie Walker,TEN,31,133,6,5327,537,60,244.4,2015
Tyler Eifert,CIN,25,74,13,5909,490,49,191.5,2015
Travis Kelce,KC,26,103,5,5533,463,27,189.5,2015
Ben Watson,NO,35,110,6,6675,628,26,190.5,2015
Richard Rodgers,GB,23,85,8,5667,565,12,160.1,2015
Zach Ertz,PHI,25,112,2,6084,620,5,170.3,2015
Antonio Gates,SDG,35,85,5,6213,657,2,149.0,2015
Rishard Matthews,MIA,26,61,4,5605,574,0,133.6,2015
Jason Witten,DAL,33,104,3,3253,507,0,164.3,2015
Eric Ebron,DET,22,70,5,5764,622,0,130.7,2015
Kyle Rudolph,MIN,26,73,5,5351,421,0,128.5,2015
Julius Thomas,JAX,27,80,5,5847,597,0,121.5,2015
Zach Miller,CHI,31,46,5,5505,516,0,107.9,2015
Jimmy Graham,SEA,29,74,2,6082,452,0,120.5,2015
Jacob Tamme,ATL,30,81,1,6208,571,0,130.7,2015
Charles Clay,BUF,26,77,3,5988,397,0,121.8,2015
Owen Daniels,DEN,33,77,3,5934,575,0,115.7,2015
Coby Fleener,IND,27,84,3,5307,596,0,123.1,2015
Heath Miller,PIT,33,81,2,6546,583,0,127.7,2015
Crockett Gillmore,BAL,24,47,4,4591,580,0,98.2,2015
Martellus Bennett,CHI,28,80,3,5505,516,0,114.9,2015
Will Tye,NYG,24,62,3,6109,614,0,104.4,2015
Brent Celek,PHI,30,35,3,6084,620,0,84.8,2015
Austin Seferian-Jenkins,TB,23,39,4,6204,525,0,78.8,2015
Jordan Cameron,MIA,27,70,3,5605,574,0,91.6,2015
Vance McDonald,SF,25,46,3,4759,439,0,80.6,2015
Clive Walford,OAK,24,50,3,5589,567,0,78.9,2015
Scott Chandler,NE,30,42,4,6216,623,0,72.9,2015
Darren Fells,ARI,29,28,3,6692,549,0,70.1,2015
Jared Cook,STL,28,75,0,4843,465,0,87.1,2015
Cameron Brate,TB,24,30,3,6204,525,0,69.8,2015
