Tm,EXP,TO,NY/A,Y/A,Year,Pass_QB_def_norm,Rush_def_norm
MIN,145.07,19,5.2,3.7,2017,-1.6034771742883835,-1.0566428693138845
JAX,252.15,33,4.8,4.3,2017,-2.2720279179656253,0.5927508779077901
LAC,120.25,27,5.6,4.9,2017,-0.9349264306111436,2.2421446251294674
PHI,162.09,31,5.7,3.8,2017,-0.7677887446918323,-0.7817439114436062
NE,12.09,18,6.4,4.7,2017,0.4021750567433397,1.6923467093889082
BAL,181.55,34,5.6,4.1,2017,-0.9349264306111436,0.042952962167231136
PIT,31.72,22,5.8,4.4,2017,-0.6006510587725227,0.8676498357780709
ATL,127.47,16,5.8,4.1,2017,-0.6006510587725227,0.042952962167231136
CHI,129.87,22,5.9,4.0,2017,-0.43351337285321156,-0.23194599570304716
NO,64.3,25,6.0,4.4,2017,-0.2663756869339019,0.8676498357780709
CAR,102.03,21,6.1,4.0,2017,-0.09923800101459225,-0.23194599570304716
LAR,100.44,28,5.8,4.7,2017,-0.6006510587725227,1.6923467093889082
DAL,29.89,21,5.7,4.1,2017,-0.7677887446918323,0.042952962167231136
SEA,125.66,25,5.6,4.0,2017,-0.9349264306111436,-0.23194599570304716
KC,37.66,26,6.6,4.3,2017,0.736450428581959,0.5927508779077901
CIN,159.55,14,5.6,4.2,2017,-0.9349264306111436,0.3178519200375119
TEN,77.51,21,5.9,3.6,2017,-0.43351337285321156,-1.331541827184164
BUF,86.45,25,6.1,4.3,2017,-0.09923800101459225,0.5927508779077901
ARI,143.08,21,5.9,3.5,2017,-0.43351337285321156,-1.6064407850544435
LV,11.52,14,6.9,4.0,2017,1.237863486339891,-0.23194599570304716
DET,122.96,32,6.4,4.2,2017,0.4021750567433397,0.3178519200375119
NYJ,41.98,20,6.4,4.0,2017,0.4021750567433397,-0.23194599570304716
DEN,131.2,17,6.1,3.3,2017,-0.09923800101459225,-2.1562387007950026
TB,50.69,26,7.3,4.3,2017,1.9064142300171312,0.5927508779077901
SF,25.99,20,6.6,3.8,2017,0.736450428581959,-0.7817439114436062
GB,16.38,22,6.9,3.9,2017,1.237863486339891,-0.5068449535733267
NYG,95.0,19,6.9,4.2,2017,1.237863486339891,0.3178519200375119
WSH,120.68,23,6.0,4.5,2017,-0.2663756869339019,1.1425487936483492
MIA,61.09,15,6.5,4.1,2017,0.5693127426626494,0.042952962167231136
IND,5.01,20,7.3,3.9,2017,1.9064142300171312,-0.5068449535733267
CLE,13.99,13,6.6,3.4,2017,0.736450428581959,-1.881339742924723
HOU,47.22,16,7.1,4.0,2017,1.5721388581785103,-0.23194599570304716
CHI,95.5,36,5.3,3.8,2018,-2.0152082918083196,-1.3758764788855762
BAL,39.88,17,5.4,3.7,2018,-1.8370683323114507,-1.6028251764337116
TEN,-22.13,17,6.1,4.3,2018,-0.5900886158333764,-0.24113299114489514
HOU,-10.29,29,6.5,3.4,2018,0.12247122215409607,-2.283671269078121
JAX,4.66,17,5.8,4.3,2018,-1.1245084943239798,-0.24113299114489514
DAL,-52.66,20,6.5,3.8,2018,0.12247122215409607,-1.3758764788855762
NE,-32.66,28,6.2,4.9,2018,-0.41194865633650746,1.1205591941439235
LAC,-38.61,20,6.2,4.3,2018,-0.41194865633650746,-0.24113299114489514
MIN,23.15,20,5.7,4.1,2018,-1.3026484538208472,-0.695030386241168
